yukon gold potato,35,0
russet potatoes,31,0
rutabaga,18.65,0
cabbage,16.95,0
mashed potatoes,31,0
potatoes,18.65,0
all purpose flour,35,0
baking powder,27.25,0
whole wheat flour,35,0
soda bread,22.05,0
baking soda,23.85,0
color food green,33,0
caraway seeds,27.25,0
butter,15.15,0
fat buttermilk,29.1,0
buttermilk,22.05,0
irish bacon,23.85,0
beef brisket,25.55,0
corned beef,23.85,0
yukon gold potato,35,1
russet potatoes,31,1
rutabaga,18.65,1
cabbage,16.95,1
mashed potatoes,31,1
potatoes,18.65,1
all purpose flour,35,2
baking powder,27.25,2
whole wheat flour,35,2
soda bread,22.05,2
baking soda,23.85,2
color food green,33,3
caraway seeds,27.25,3
butter,15.15,4
fat buttermilk,29.1,4
buttermilk,22.05,4
irish bacon,23.85,7
beef brisket,25.55,7
corned beef,23.85,7
beer,11.75,16
stout,13.45,16
irish cream liqueur,40,16
guinness beer,27.25,16
whiskey,16.95,16
raisins,16.95,17
oatmeal,16.95,19
wheat bran,22.05,19
steel cut oats,29.1,19
